"","PROVINCIA","Ubigeo","habitantes","IDH","esperanza","secundaria","educa","percapitaf","IDE","identidad","salud","educacion","saneamiento","electrificacion","poblacion","costa","capital","tamano","fecundidad","desnutricion","densidadpob","mortalidadinf","analfabetismo","analfabetismo_urb","analfabetismo_rural","analfabetismo_h","analfabetismo_m","pob","pob_ur","pob_rural","pob_h","pob_m","Voto_PPK","Voto_FP"
"1","ABANCAY","030100",96064,0.353832776990918,73.43,66.5004075438168,7.87793203968218,288.572403205473,0.7466,97.9042,16.9311,93.6909,63.0011,90.5064,105694,"NO","SI",3,"2.52","24.420776",27.87,17.5,13.45,6.31,26.77,6.95,19.59,96064,60810,35254,47611,48453,26226,26089
"2","ACOBAMBA","090200",63792,0.191121267821812,71.43,36.6999179317311,4.67057149645587,116.643945653873,0.5771,98.7516,2.6282,77.5408,31.1721,76.7208,73243,"NO","NO",2,"2.63","55.162966",70.04,23.9,22,13.81,25.92,10.36,32.82,63792,19345,44447,31399,32393,9303,8726
"3","ACOMAYO","080200",27357,0.209077638428704,66.15,41.632047706401,4.71671741720276,147.332183542204,0.6331,97.199,10.4537,83.1267,48.2393,70.5703,28318,"NO","NO",1,"3.94","63.590854",28.85,44,25.25,21.98,29.12,9.14,40.32,27357,14460,12897,13514,13843,8111,3465
"4","AIJA","020200",7995,0.254353858296823,66.65,34.6262707193051,6.95408026183283,199.829097691823,0.6579,98.2344,8.594,89.4989,47.7841,79.122,7974,"NO","NO",1,"3.27","38.892857",11.48,41.9,8.25,3.7,10.54,3.22,13.12,7995,2528,5467,3994,4001,1820,2217
"5","ALTO AMAZONAS","160200",104667,0.258446010158315,70.55,31.91735072602,6.62411141021354,205.22031050639,0.5685,94.0398,10.814,61.7112,44.4909,66.0007,117163,"NO","NO",3,"3.35","31.50458",5.58,26.8,10.37,4.5,20.94,5.89,15.08,104667,62782,41885,53459,51208,32491,18620
"6","AMBO","100200",55483,0.237416522996028,72.83,34.924768523805,4.58353301603808,193.153872302665,0.5594,97.9204,11.1829,74.8834,25.5836,62.6859,57957,"NO","NO",2,"3.31","44.291241",35.09,19.3,21.11,12.99,25.55,10.73,31.35,55483,18453,37030,27878,27605,11506,14409
"7","ANDAHUAYLAS","030200",143846,0.26720508119357,73.15,49.7892966977308,5.44292110549599,198.967325681586,0.718,98.366,12.4028,83.7088,72.297,83.9755,163662,"NO","NO",3,"3.15","37.054541",36.08,18.3,22.48,11.96,31.68,10.05,33.72,143846,64704,79142,70223,73623,31938,32451
"8","ANGARAES","090300",55704,0.190047552298313,69.31,41.3762352278507,4.61081505779444,115.058198990986,0.5913,98.439,3.004,76.8243,36.9268,78.4647,60816,"NO","NO",2,"3.53","58.420091",28.43,31.4,25.68,15.51,30.42,13.26,36.96,55704,16086,39618,27252,28452,12068,9202
"9","ANTA","080300",54828,0.25417273344915,72.77,48.4578843762826,5.61776907797559,175.850025728626,0.6379,97.9755,4.6273,82.8919,43.5397,86.8348,57262,"NO","NO",2,"2.85","32.994515",29.22,19.5,18.86,12.53,22.41,9.83,27.72,54828,19386,35442,27608,27220,20380,10747
"10","ANTABAMBA","030300",12267,0.220958130194985,66.82,37.5807777515292,5.79306105706874,152.360626375626,0.57,96.1608,5.3211,91.055,25.2835,63.6509,13399,"NO","NO",1,"4.76","40.430951",3.81,41.2,21.53,17,31.73,8.93,34.27,12267,8616,3651,6272,5995,2449,2314
"11","ANTONIO RAYMONDI","020300",17059,0.213108070037646,69.15,26.3518463984954,5.52800981684016,158.264289702118,0.6113,96.8158,4.9923,77.7374,48.9181,73.8765,16879,"NO","NO",1,"3.93","47.363411",30.38,32,20.35,10.05,24.46,8.96,31.34,17059,4455,12604,8492,8567,3696,2015
"12","AREQUIPA","040100",864250,0.477391136198906,73.94,85.8762201780742,11.2763379856369,469.324874817926,0.9075,99.4183,40.4944,93.4114,95.5408,97.8951,936464,"NO","SI",4,"1.93","12.85136",89.26,16.1,3.19,3.09,7.17,1.14,5.03,864250,842880,21370,415972,448278,470539,196390
"13","ASCOPE","130200",116229,0.411880264729804,74.08,67.3551603434693,8.9696926454754,396.064703535119,0.7553,99.5,17.602,96.5098,65.4569,86.8584,120884,"SI","NO",3,"2.21","18.310537",43.77,15.7,5.52,4.96,9.62,2.96,8.05,116229,102230,13999,58299,57930,26564,44878
"14","ASUNCION","020400",9054,0.229450397471083,68.98,33.6546710899687,4.88705219981668,185.185810414619,0.6975,97.1484,17.189,81.5383,67.1184,74.2923,9013,"NO","NO",1,"3.29","39.466231",17.13,32.6,28.53,8.46,35.05,17.88,37.86,9054,2302,6752,4400,4654,1940,1610
"15","ATALAYA","250200",43933,0.232766032995227,65.41,26.8460743742905,6.00614137502453,198.681645862469,0.4245,84.2895,4.5206,55.4652,13.2425,51.7253,50569,"NO","NO",2,"4.72","64.037636",1.13,47.1,20.68,4.35,31.4,15.56,26.46,43933,15428,28505,22940,20993,4773,12408
"16","AYABACA","200200",138403,0.194729094566092,68.63,26.0855873919336,4.50709073435526,147.245244493632,0.5102,94.8213,3.6732,60.0579,51.9557,42.1461,141708,"NO","NO",3,"4.36","53.389937",26.46,33.9,20.46,6.37,22.64,14,27.27,138403,15845,122558,70777,67626,25866,24239
"17","AYMARAES","030400",29569,0.246151838980983,70.44,47.3731446064023,5.6494554551408,170.462011859614,0.611,97.5102,4.9546,92.2419,34.5556,72.9106,32722,"NO","NO",1,"4","36.905958",7.02,27.2,23.07,17,27.65,10.04,36.65,29569,12764,16805,15073,14496,5700,7037
"18","AZANGARO","210200",136829,0.230921506797581,65.84,53.1629671006749,5.61330718357136,153.022350380431,0.5716,98.7557,2.9063,81.044,39.6135,61.5461,139092,"NO","NO",3,"3.17","34.79674",27.53,45.3,17.07,9.06,20.16,7.3,25.92,136829,37508,99321,66613,70216,46385,16965
"19","BAGUA","010200",71757,0.291630080553962,73.65,39.8820745900754,6.55695872330684,241.287490562046,0.6623,94.6079,14.6091,79.7902,64.479,67.9146,77438,"NO","NO",2,"2.81","40.005875",12.49,16.9,11.62,6.46,17.06,6.1,17.41,71757,33559,38198,36713,35044,17490,15426
"20","BARRANCA","150200",133904,0.401756352137395,76.24,66.6106681719335,8.68078561665113,364.458390856355,0.8118,99.295,21.4062,83.9918,96.9944,89.9645,143216,"SI","NO",3,"2.57","12.801658",98.76,10.1,5.77,4.77,11.74,2.77,8.77,133904,114260,19644,67138,66766,31769,51903
